# Constructed from biom file
#OTU ID	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C4	C5	NTC	O1_1	O2	O3	O4	O5	O6	O7	O8	P1	P2	P3	P4	P5	P6	P7	P8	P9	R1	R2	R3	R4	R6	R7	R8	S1	S2	S3	S4	S5
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Pezizellaceae;g__Chalara	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239.0	253.0	274.0	225.0	0.0	0.0	0.0	0.0	0.0	0.0	246.0	0.0	0.0	312.0	356.0	429.0	7.0	147.0	365.0	280.0	304.0	163.0	365.0	309.0	494.0	628.0	353.0	314.0	332.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Pezicula	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Extremaceae;g__Paradevriesia	19.0	10.0	13.0	21.0	23.0	51.0	84.0	13.0	77.0	0.0	0.0	0.0	0.0	0.0	143.0	14.0	7.0	84.0	54.0	2.0	52.0	23.0	0.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	23.0	152.0	90.0	9.0	69.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellaceae;g__Virosphaerella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	7.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Teratosphaeriaceae;g__Teratosphaeria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	3.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Phomatosporales;f__Phomatosporaceae;g__Phomatospora	0.0	7.0	13.0	24.0	32.0	22.0	18.0	17.0	49.0	29.0	3.0	24.0	24.0	0.0	48.0	32.0	74.0	28.0	39.0	0.0	170.0	27.0	13.0	26.0	18.0	87.0	7.0	3.0	41.0	30.0	52.0	8.0	191.0	38.0	38.0	53.0	24.0	49.0	25.0	34.0	17.0	16.0	46.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;__	1705.0	1555.0	1475.0	2612.0	1671.0	2174.0	2058.0	1795.0	4237.0	1274.0	1837.0	1809.0	4813.0	0.0	2588.0	3434.0	5334.0	2713.0	2942.0	2000.0	4064.0	2805.0	1829.0	2846.0	2509.0	3866.0	1513.0	2426.0	1909.0	1884.0	1529.0	1720.0	2533.0	2647.0	2355.0	3306.0	2101.0	2092.0	2579.0	2650.0	2089.0	2740.0	858.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Magnaporthales;f__Magnaporthaceae;g__Gaeumannomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;__;__	428.0	445.0	394.0	540.0	502.0	567.0	517.0	507.0	1016.0	405.0	594.0	563.0	507.0	0.0	567.0	889.0	693.0	696.0	619.0	548.0	882.0	726.0	476.0	947.0	744.0	1172.0	449.0	689.0	617.0	645.0	547.0	583.0	668.0	654.0	711.0	771.0	567.0	509.0	738.0	771.0	538.0	760.0	213.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Calonectria	438.0	391.0	463.0	625.0	471.0	681.0	626.0	536.0	1203.0	267.0	394.0	335.0	253.0	0.0	698.0	1257.0	651.0	852.0	846.0	353.0	1535.0	925.0	282.0	535.0	417.0	1256.0	451.0	601.0	402.0	361.0	388.0	397.0	518.0	477.0	522.0	572.0	411.0	486.0	739.0	676.0	505.0	642.0	265.0
